6.93453e-19	0.0169192	0
-nan	-nan	2300
-nan	-nan	2310
-nan	-nan	2320
-nan	-nan	2330
-nan	-nan	2340
-nan	-nan	2350
-nan	-nan	2360
-nan	-nan	2370
-nan	-nan	2380
-nan	-nan	2390
-nan	-nan	2400
-nan	-nan	2410
-nan	-nan	2420
-nan	-nan	2430
-nan	-nan	2440
-nan	-nan	2450
-nan	-nan	2460
-nan	-nan	2470
-nan	-nan	2480
-nan	-nan	2490
-nan	-nan	2500
-nan	-nan	2510
-nan	-nan	2520
-nan	-nan	2530
-nan	-nan	2540
-nan	-nan	2550
-nan	-nan	2560
-nan	-nan	2570
-nan	-nan	2580
-nan	-nan	2590
-nan	-nan	2600
-nan	-nan	2610
-nan	-nan	2620
-nan	-nan	2630
-nan	-nan	2640
-nan	-nan	2650
-nan	-nan	2660
-nan	-nan	2670
-nan	-nan	2680
-nan	-nan	2690
-nan	-nan	2700
-nan	-nan	2710
-nan	-nan	2720
-nan	-nan	2730
-nan	-nan	2740
-nan	-nan	2750
-nan	-nan	2760
-nan	-nan	2770
-nan	-nan	2780
-nan	-nan	2790
-nan	-nan	2800
-nan	-nan	2810
-nan	-nan	2820
-nan	-nan	2830
-nan	-nan	2840
-nan	-nan	2850
-nan	-nan	2860
-nan	-nan	2870
-nan	-nan	2880
-nan	-nan	2890
-nan	-nan	2900
-nan	-nan	2910
-nan	-nan	2920
-nan	-nan	2930
-nan	-nan	2940
-nan	-nan	2950
-nan	-nan	2960
-nan	-nan	2970
-nan	-nan	2980
-nan	-nan	2990
-nan	-nan	3000
-nan	-nan	3010
-nan	-nan	3020
-nan	-nan	3030
-nan	-nan	3040
-nan	-nan	3050
-nan	-nan	3060
-nan	-nan	3070
